Counter 2012;Counter 2021;Type;Country;Name;list of 2012 ids;list of 2021 ids
;1;hosp;Japan;Kyoto Second Red Cross Hospital;;112
;1;uni;Japan;Kyushu University;;112
;1;uni;Japan;National Institute of Informatics;;112
1;;hosp;Netherlands;Atrium Medical Center, Heerlen;240;
1;;uni;Netherlands;Delft University of Technology;240;
;1;gov;Netherlands;EFRO/OP-Oost;;138
;1;uni;Netherlands;Radboud University;;138
;1;uni;Netherlands;SURF Cooperative;;138
;1;gov;Portugal;FCT project;;180
;1;uni;Portugal;Instituto Superior Tecnico;;180
1;;corp;Russia;Yandex, Moscow, Russia;42;
1;;corp;Singapore;Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore;7;
1;;uni;Singapore;Nanyang Technological University, Singapore;7;
1;;corp;Singapore;National University of Singapore, Singapore;7;
1;1;corp;Singapore;Singapore ASTAR SERC;7;310
1;;corp;Singapore;Singapore Eye Research Institute, Singapore;7;
;1;gov;South Korea;Korea government;;300
;1;uni;South Korea;Korea University;;300
;1;uni;South Korea;Pohang University of Science and Technology;;102
;1;uni;South Korea;POSTECH;;102
;1;gov;Spain;Catalan Institution for Research and Advanced Studies (ICREA);;283
;2;gov;Spain;Spanish Ministry of Science;;106, 122
1;;gov;Spain;Talentia Fellowships Programme of the Andalusian Regional Ministry of Economy, Innovation and Science;4;
;1;uni;Spain;Universidad de Granada;;122
;2;uni;Spain;Universitat Pompeu Fabra;;106, 283
;1;corp;Sweden;Knut and Alice Wallenberg Foundation;;312
;1;uni;Sweden;Linkoping University;;312
;1;corp;Sweden;Sectra AB;;312
;1;gov;Sweden;Sweden gov;;312
;1;uni;Switzerland;ETH Zurich;;72
;1;corp;Switzerland;Helmut Horten Foundation;;72
;1;corp;Switzerland;Novartis AG;;173
;1;uni;Switzerland;University of Geneva;;74
;1;uni;Switzerland;University of Zurich;;72
;2;corp;Taiwan;aetherAI;;139, 322
;1;hosp;Taiwan;Chang Gung Memorial Hospital;;278
;1;uni;Taiwan;Chung Shan Medical University;;287
;1;gov;Taiwan;Ministry of Science and Technology;;139
;1;hosp;Taiwan;National Taiwan University Hospital;;139
;1;uni;Taiwan;National Yang Ming Chiao Tung University;;139
1;;uni;Turkey;Suleyman Demirel University;240;
1;;gov;Turkey;TUBITAK-BIDEB 2219 program;240;
1;;hosp;Uganda;Mulago Hospital of Kampala, Uganda;215;
1;2;uni;UK;King’s College London, London, UK;62;284, 308
;2;corp;UK;Astrazeneca;;170, 322
;1;uni;UK;Bournemouth University;;283
1;1;uni;UK;Imperial College London, London, UK;62;308
1;;corp;UK;Microsoft Research, Cambridge, CB3 0FB, UK;97;
;1;hosp;UK;National Hospital for Neurology and Neurosurgery;;284
1;;hosp;UK;RCUK Centre for Doctoral Training in Healthcare Innovation;42;
;1;uni;UK;UCL Queen Square Institute of Neurology;;284
;2;gov;UK;UK gov;;284, 308
;1;uni;UK;University College London;;284
1;;uni;UK;University of Bristol;213;
2;1;uni;UK;University of Oxford;42, 213;164
;2;corp;UK;Wellcome Trust;;284, 308
1;;uni;USA;Arizona State University, Tempe, USA;41;
2;;hosp;USA;Childrens Hospital of Philadelphia;122, 230;
1;2;uni;USA;University of Pittsburgh, Pittsburgh;37;74, 313
1;;corp;USA;ADNI;16;
;2;corp;USA;Amazon ;;145, 313
;1;corp;USA;Boehringer-Ingelheim;;170
;1;corp;USA;Bristol Myers-Squibb;;170
2;;uni;USA;Carnegie Mellon University;248, 40;
;1;uni;USA;Case Western Reserve University;;170
1;;hosp;USA;Children Hospital of L.A., Department of Pathology Lab Medicine, Los Angeles, CA, USA;19;
1;;uni;USA;Columbia University;163;
;1;corp;USA;Dermatology Foundation;;78
1;;uni;USA;Duke University Medical Center;117;
1;;uni;USA;Georgia Institute of Technology, Atlanta;37;
;1;corp;USA;Google Research Award 21;;180
;1;uni;USA;Harvard Medical School;;94
1;2;corp;USA;IBM ;234;94, 329
1;;corp;USA;Intel Science and Technology Center on Embedded Computing, Pittsburgh;37;
1;;corp;USA;Intuitive Surgical, Inc, Sunnyvale CA USA;163;
2;3;uni;USA;Johns Hopkins University;4, 9;320, 160, 277
1;;hosp;USA;Kaiser San Francisco Medical Center, San Francisco, CA, USA;234;
;1;hosp;USA;Louis Stokes Cleveland VA Medical Center;;170
1;;uni;USA;Michigan State Unversity;14;
1;;uni;USA;Missouri University of Science and Technology;248;
;2;uni;USA;MIT;;287, 94
;1;gov;USA;National Institute of Mental Health;;145
;1;gov;USA;National Institute on Aging;;145
;1;hosp;USA;Newark Beth Israel Medical Center;;331
7;7;gov;USA;NIH;10,16,37, 122, 202,230, 235;94, 102, 170, 269, 276, 313, 331
;1;uni;USA;Northeastern University, Boston;;124
;1;uni;USA;Northwestern University;;122
2;3;gov;USA;NSF;4,16;102, 313, 314
;1;corp;USA;NVIDIA Corporation;;180
;1;uni;USA;Oklahoma State University;;309
;2;corp;USA;PAII Inc;;278, 277
;1;uni;USA;Penn Engineering;;145
1;;uni;USA;Penn State College of Medicine;19;
1;;hosp;USA;Piedmont Heart Institute;152;
;1;uni;USA;Rensselaer Polytechnic Institute;;329
1;;corp;USA;Research to Prevent Blindness, Inc. (New York, NY);37;
2;;uni;USA;Rutgers University;97, 19;
1;;hosp;USA;San Francisco General Hospital;215;
1;;corp;USA;Siemens Corporation, Corporate Research and Technology, Princeton, NJ, USA;53;
;1;corp;USA;Skin Cancer Foundation;;78
1;;hosp;USA;St. Jude Children’s Research Hospital;19;
1;1;uni;USA;Stanford University;40;124
;2;uni;USA;Stony Brook University;;271, 331
1;;hosp;USA;Stony Brook University Medical Center;152;
;1;corp;USA;Tempus Labs, Inc;;316
1;;corp;USA;The Eye and Ear Foundation (Pittsburgh, PA);37;
2;;uni;USA;the University of California;16, 235;
1;;uni;USA;The University of Georgia;152;
;1;gov;USA;U.S. Department of Education;;102
1;1;uni;USA;UC Berkeley ;215;102
;1;uni;USA;UC San Diego;;74
1;;uni;USA;UC San Francisco Medical School ;215;
1;;uni;USA;UCLA School of Medicine, Los Angeles, CA, USA;41;
3;3;uni;USA;University of North Carolina at Chapel Hill;10, 202, 117;102, 269, 276
4;1;uni;USA;University of Pennsylvania;97, 122, 230, 88;145
1;1;uni;USA;University of Pittsburgh School of Medicine, Pittsburgh;37;313
;2;uni;USA;University of Texas;;321, 102
1;;uni;USA;University of Utah;16;
;1;gov;USA;US Air Force;;94
;1;gov;USA;US Department of Agriculture (USDA);;309
;2;uni;USA;Vanderbilt University;;78, 314
;2;hosp;USA;Vanderbilt University Medical Center;;78, 314
;1;uni;USA;Virginia Tech;;329
;1;corp;USA;VoxelCloud Inc;;82
;1;corp;USA;Wistron;;94
;1;uni;USA;Yale University;;280
;1;uni;Vietnam;Hanoi University of Science and Technology;;280
;1;corp;Vietnam;Medical Imaging Center, Vingroup Big Data Institute;;280
;1;uni;Vietnam;VinUniversity;;280
