Column1;Tidsstempel;What is the article's index?;Which year is the article from?;Is the article accurately labelled as classification?;If not accurately labelled as classification, what would you label it as?;Please input the quote from which you infer the answer to the previous question (if possible);What is the aim or task of the article? (input quote);How does the article justify this aim or task? (input quote);Which method is used for classification?;Which performance measures are used? ;Does the article use segmentation as preprocessing?;Please input the quote from which you infer the answer to the previous question (if possible).1;Does the dataset used in the article have a title?;Please input the quote from which you infer the answer to the previous question (if possible).2;What is the size of the used dataset? (input quote);What type is the dataset?;Please input the quote from which you infer the answer to the previous question (if possible).3;Is the survey/method of how the dataset was obtained accessible?;Please input the quote from which you infer the answer to the previous question (if possible).4;Does the article mention the demographics of the patients/images included in the used dataset?;Please input the quote from which you infer the answer to the previous question (if possible).5;Does the article mention the intent for collecting the dataset? The intended task for the dataset?;Please input the quote from which you infer the answer to the previous question (if possible).6;Does the article disclose any affiliations?;Please input the quote from which you infer the answer to the previous question (if possible).7;Does the article include anything about respect for persons (informed consent, voluntary participation) participating in the dataset? ;Please input the quote from which you infer the answer to the previous question (if possible).8;Does the article have any mention of benefience, minimising risk/maximising benefit of work? ;Please input the quote from which you infer the answer to the previous question (if  possible);Does the article have any mention of justice (equal treatment, fair selection of subjects)?;Please input the quote from which you infer the answer to the previous question (if  possible).1;Does the article mention any respect for law/public interest (transparency in methods/results, accountability for actions)?;Please input the quote from which you infer the answer to the previous question (if  possible).2;Are there any other comments/interesting aspects?
17;30/09/2022 11.12.41;37;2012;Yes;It was accurately labelled;"Our experimental results show that the proposed method
can effectively identify the location of the foveola, facilitating diagnosis
around this important landmark.";"We develop an automated method to determine the foveola
location in macular 3D-OCT images in either healthy or pathological
conditions.";"The foveola is an important anatomical landmark for retinal image analysis [1]. It
is located in the center of the macula, responsible for sharp central vision. Several
clinically-relevant indices are measured with respect to the foveola location, such
as the retina’s average thickness, or drusen size within concentric circles around
the foveola [1, 2]. In addition, many macular diseases are best observed around
the foveola, such as macular hole, and age-related macular degeneration [3].
Therefore, the localization of the foveola in retinal images is an important first
step for diagnosis and longitudinal data analysis.";SVM;mean, median, standard deviation;No;nothing is mentioned;No;"We collected a large sample of 3D SD-OCT macular scans (200x200x1024 or
512x128x1024 protocol, 6x6x2 mm; Cirrus HD-OCT; Carl Zeiss Meditec). Each
scan is then normalized to be 200x200x200 in x, y, z. For each scan, two ophthalmologists
labeled the (x, y) location of the foveola independently. We then
included a total of 170 scans from 170 eyes/126 subjects in which all scans have
good expert labeling agreement (distance ? 8 pixels)";"We collected a large sample of 3D SD-OCT macular scans (200x200x1024 or
512x128x1024 protocol, 6x6x2 mm; Cirrus HD-OCT; Carl Zeiss Meditec). Each
scan is then normalized to be 200x200x200 in x, y, z. For each scan, two ophthalmologists
labeled the (x, y) location of the foveola independently. We then
included a total of 170 scans from 170 eyes/126 subjects in which all scans have
good expert labeling agreement (distance ? 8 pixels)";Private;"We collected a large sample of 3D SD-OCT macular scans (200x200x1024 or
512x128x1024 protocol, 6x6x2 mm; Cirrus HD-OCT; Carl Zeiss Meditec). Each
scan is then normalized to be 200x200x200 in x, y, z. For each scan, two ophthalmologists
labeled the (x, y) location of the foveola independently. We then
included a total of 170 scans from 170 eyes/126 subjects in which all scans have
good expert labeling agreement (distance ? 8 pixels)";Don't know;"We collected a large sample of 3D SD-OCT macular scans (200x200x1024 or
512x128x1024 protocol, 6x6x2 mm; Cirrus HD-OCT; Carl Zeiss Meditec). Each
scan is then normalized to be 200x200x200 in x, y, z. For each scan, two ophthalmologists
labeled the (x, y) location of the foveola independently. We then
included a total of 170 scans from 170 eyes/126 subjects in which all scans have
good expert labeling agreement (distance ? 8 pixels)";No;Nothing is mentioned;Yes;For the purpose of this article;Yes;"1 College of Computing, Georgia Institute of Technology, Atlanta, GA
2 UPMC Eye Center, University of Pittsburgh School of Medicine, Pittsburgh, PA
3 Department of Bioengineering, University of Pittsburgh, Pittsburgh, PA
4 Intel Science and Technology Center on Embedded Computing, Pittsburgh, PA   This research is supported in part by National Institutes of
Health contracts R01-EY013178 and P30-EY008098, The Eye and Ear Foundation
(Pittsburgh, PA), unrestricted grants from Research to Prevent Blindness,
Inc. (New York, NY), and grants from Intel Labs Pittsburgh (Pittsburgh, PA).";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;Yes;There is psuedocode included for their algorithm, so partial transparency?;This one is perhaps also unclear if it is classification or not, the performance measures especially seem to indicate perhaps not, more localisation than classification, though they do do classification
18;30/09/2022 11.17.42;38;2012;Yes;It was accurately labelled;"In the context of a blind source separation
of the underlying colour, we arrive at intrinsic melanin and hemoglobin
images, whose properties are then used in supervised learning to achieve excellent
malignant vs. benign skin lesion classification.";"In this paper we propose a new log-chromaticity 2-D colour space,
an extension of previous approaches, which succeeds in removing confounding
factors from dermoscopic images: (i) the effects of the particular camera characteristics
for the camera system used in forming RGB images; (ii) the colour
of the light used in the dermoscope; (iii) shading induced by imaging non-flat
skin surfaces; (iv) and light intensity, removing the effect of light-intensity falloff
toward the edges of the dermoscopic image. In the context of a blind source separation
of the underlying colour, we arrive at intrinsic melanin and hemoglobin
images, whose properties are then used in supervised learning to achieve excellent
malignant vs. benign skin lesion classification.";"The three most common malignant skin cancers are basal cell carcinoma (BCC), squamous
cell carcinoma (SCC), and melanoma, among which melanoma is the most deadly
with a high increasing rate in most parts of the world. Melanoma is often treatable if
detected in the early stage, particularly before the metastasis phase. Therefore, there is
an increasing demand for computer-aided diagnostic systems to catch early melanomas.
Colour has played a crucial role in the diagnosis of skin lesions by experts in most
clinical methods (see e.g. [1]). For instance, the presence of multiple colours with an
irregular distribution can signal malignancy.
Few studies have investigated the use of colour features representing biological properties
of skin lesions.";Logistic classifier;AUC, Precision, Recall, F1 score;Yes;"For automatic segmentation of lesions, we found that
using the geometric-mean ? is as good as or better than the state of the art [12] for these
dermoscopic images, in amuch simpler algorithm.";No;"We applied a Logistic classifier to a set of 500 images, with two classes consisting of
malignant (melanoma and BCC) vs. all benign lesions";"We applied a Logistic classifier to a set of 500 images, with two classes consisting of
malignant (melanoma and BCC) vs. all benign lesions";Private;"(This is the ONLY description of the dataset...) We applied a Logistic classifier to a set of 500 images, with two classes consisting of
malignant (melanoma and BCC) vs. all benign lesions";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;"School of Computing Science
Simon Fraser University
amadooei@cs.sfu.ca
http://www.cs.sfu.ca/?amadooei  Nothing is mentioned";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;This article probably has the shortest description of a dataset I've seen so far!
19;30/09/2022 11.23.46;40;2012;Yes;It was accurately labelled;"We applied a linear Support Vector Machine (SVM) to classify candidate patch
sequences.";"we present an image analysis method to
detect apoptosis in time-lapse phase-contrast microscopy, which is nondestructive
imaging.";"There have been little-to-no reports of apoptosis detection in phase-contrast
microscopy. To the best of our knowledge, cell death event detection has only
been implicitly performed as a byproduct of cell tracking; i.e., if the trajectory of
a cell terminates during cell tracking, the cell is considered dead. However, this
simple heuristic often yields poor results because many cell traject";SVM;Precision, Recall;No;Nothing is mentioned;No;"After C2C12 myoblastic stem cells were cultured for one day, Mitomycin C was
added to induce apoptosis. Afterward, three populations were imaged every 5
minutes over 45 hours, resulting in three sets of 540 image frames. As shown in
Fig. 4, most of cells were dead at the last frame. We manually annotated apoptosis
by marking the center of each apoptotic cell after it shrinks and becomes
bright, obtaining 1154 cases in total. The image sequences and ground truths
are available on the first author’s web page (www.cs.cmu.edu/?seungilh).";"After C2C12 myoblastic stem cells were cultured for one day, Mitomycin C was
added to induce apoptosis. Afterward, three populations were imaged every 5
minutes over 45 hours, resulting in three sets of 540 image frames. As shown in
Fig. 4, most of cells were dead at the last frame. We manually annotated apoptosis
by marking the center of each apoptotic cell after it shrinks and becomes
bright, obtaining 1154 cases in total. The image sequences and ground truths
are available on the first author’s web page (www.cs.cmu.edu/?seungilh).";Public;"The image sequences and ground truths
are available on the first author’s web page (www.cs.cmu.edu/?seungilh).";Yes;"After C2C12 myoblastic stem cells were cultured for one day, Mitomycin C was
added to induce apoptosis. Afterward, three populations were imaged every 5
minutes over 45 hours, resulting in three sets of 540 image frames. As shown in
Fig. 4, most of cells were dead at the last frame. We manually annotated apoptosis
by marking the center of each apoptotic cell after it shrinks and becomes
bright, obtaining 1154 cases in total. The image sequences and ground truths
are available on the first author’s web page (www.cs.cmu.edu/?seungilh).";No;Not relevant as such, uses stem cells (though no mention is made of which and whose stem cells are used of course);Yes;For the purpose of this article;No;"Robotics Institute, Carnegie Mellon University
{seungilh,hangs,tk}@cs.cmu.edu
2 Department of Orthopedic Surgery, Stanford University
elmerker@stanford.edu  Nothing is mentioned";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;Yes;Pseudo code included;
20;03/10/2022 09.33.27;41;2012;Yes;It was accurately labelled;"We test our method on a
collection of 42 lymphocyte sequences and present results on i) discrimination of
normal and abnormal cellular morphology, ii) local statistical differences between
abnormal and normal shape sequences, and iii) classification of shape sequences
based on the dynamic cellular shape changes from one time point to another.";"In this paper we propose a dynamic framework for quantitative analysis of
lymphocyte morphological changes in 2D+t image sequences";"Morphological analysis of cells features prominently in a wide range of applications
including digital pathology and is essential for improving our understanding
of the basic physiological processes of organisms.";Learning Vector Quantization;Specificity, Accuracy, Sensitivity;No;"But mentions the data is segmented prior to use: We represent the segmented cell boundary by 2D
closed, continuously parameterized curve [5–7] c ? R2 given by c(s) : [0, 2?) ?
R2.";No;"Our data consists of 42 lymphocyte image sequences (20?30 seconds) of mice
undergoing back skin transplantation (age: 6-8 weeks, weight 20-22 g) observed
with phase contrast microscopy (Olympus BX51, 0.3 ? resolution, 16 × 1000
magnification). The first group consisted of 21 healthy Balb/C mice as hosts
and 21 healthy Balb/C mice as donors, whereas the second group consisted of
21 healthy Balb/C mice as hosts and 21 healthy C57BL/6 mice as donors. The
lymphocytes were obtained from the blood samples of the 42 hosts collected
from the tail 7 days after the skin transplant.";"Our data consists of 42 lymphocyte image sequences (20?30 seconds) of mice
undergoing back skin transplantation (age: 6-8 weeks, weight 20-22 g) observed
with phase contrast microscopy (Olympus BX51, 0.3 ? resolution, 16 × 1000
magnification). The first group consisted of 21 healthy Balb/C mice as hosts
and 21 healthy Balb/C mice as donors, whereas the second group consisted of
21 healthy Balb/C mice as hosts and 21 healthy C57BL/6 mice as donors. The
lymphocytes were obtained from the blood samples of the 42 hosts collected
from the tail 7 days after the skin transplant.";Private;"Our data consists of 42 lymphocyte image sequences (20?30 seconds) of mice
undergoing back skin transplantation (age: 6-8 weeks, weight 20-22 g) observed
with phase contrast microscopy (Olympus BX51, 0.3 ? resolution, 16 × 1000
magnification). The first group consisted of 21 healthy Balb/C mice as hosts
and 21 healthy Balb/C mice as donors, whereas the second group consisted of
21 healthy Balb/C mice as hosts and 21 healthy C57BL/6 mice as donors. The
lymphocytes were obtained from the blood samples of the 42 hosts collected
from the tail 7 days after the skin transplant.";No;"Our data consists of 42 lymphocyte image sequences (20?30 seconds) of mice
undergoing back skin transplantation (age: 6-8 weeks, weight 20-22 g) observed
with phase contrast microscopy (Olympus BX51, 0.3 ? resolution, 16 × 1000
magnification). The first group consisted of 21 healthy Balb/C mice as hosts
and 21 healthy Balb/C mice as donors, whereas the second group consisted of
21 healthy Balb/C mice as hosts and 21 healthy C57BL/6 mice as donors. The
lymphocytes were obtained from the blood samples of the 42 hosts collected
from the tail 7 days after the skin transplant.";No;Also not relevant, tested on mice;Yes;For the article;Yes;"1 School of Information and Electronics, Beijing Inst. of Tech., Beijing, China
2 School of Computer Sci. and Engineering, Arizona State University, Tempe, USA
3 Department of General Surgery, Beijing You’An Hospital, Beijing, China
4 Laboratory of Neuro Imaging, UCLA School of Medicine, Los Angeles, CA, USA   This work is sponsored by the National Natural Science Foundation of China
(60971133) and the China Scholarship Council. anxing@bit.edu.cn";No;Not relevant, mice testing;No;Nothing is mentioned;No;Not relevant, mice testing;No;Nothing mentioned;
21;03/10/2022 09.37.26;42;2012;Yes;It was accurately labelled;"In this paper we propose a learning-based method that is general enough
to perform well across different microscopy modalities. Rather than invoking
computationally-intensive segmentation frameworks [1,9], or classifying all image
patches in a sliding-window manner [15], it uses a highly-efficient MSER region
detector [8] to find a broad number of candidate regions to be scored with a
learning-based measure. The non-overlaping subset of those regions with high
similarity to the class of interest can then be selected via dynamic programming,
while the learning can be done within the structured output framework [12].";"In this paper we propose a learning-based method that is general enough
to perform well across different microscopy modalities. Rather than invoking
computationally-intensive segmentation frameworks [1,9], or classifying all image
patches in a sliding-window manner [15], it uses a highly-efficient MSER region
detector [8] to find a broad number of candidate regions to be scored with a
learning-based measure. The non-overlaping subset of those regions with high
similarity to the class of interest can then be selected via dynamic programming,
while the learning can be done within the structured output framework [12].";"Automatic cell detection is a subject of interest in a wide range of cell-based
studies, as it is the basis of many automatic methods for cell counting, segmentation
and tracking. The broad diversity of cell lines and microscopy imaging
techniques require that cell detection algorithms adapt well to different scenarios.
The difficulty of the problem also increases when the cell density of the
sample is high, as in this case the cell size can vary and cell clumping is usual.
Moreover, in some applications different cell types or other similar structures
can be present in the same image, and in this case the algorithm is required to
detect only the cells of interest, posing a barrier hard to overcome with classical
image processing techniques.";SVM;Precision, Recall;Yes;"Although the algorithm produces a set of regions, our
aim is to optimize the detection accuracy (and not the segmentation) w.r.t. the
ground truth provided in the form of dots.";No;"Three data sets for cell detection have been used to validate the method
(Figure 1). Firstly, the ICPR 2010 Histopathology Images contest [4], which
consists of 20 images of stained breast cancer tissue. It is required to detect
lymphocyte nuclei, while discriminating them from breast cancer nuclei having
very similar appearance. The second data set comes from [1] and contains 12
fluorescence microscopy images of human embryonic kidney (HEK) cells, where
the detection task is challenging due to the significant intensity variation between
cells across the image, fading boundaries, and frequent cell clumping. The third
data set contains 22 phase-contrast images of cervical cancer cell colonies of the
HeLa cell line, which presents a high variability in cell shapes and sizes.
Three variations of our method are evaluated: (I) direct classification";"Three data sets for cell detection have been used to validate the method
(Figure 1). Firstly, the ICPR 2010 Histopathology Images contest [4], which
consists of 20 images of stained breast cancer tissue. It is required to detect
lymphocyte nuclei, while discriminating them from breast cancer nuclei having
very similar appearance. The second data set comes from [1] and contains 12
fluorescence microscopy images of human embryonic kidney (HEK) cells, where
the detection task is challenging due to the significant intensity variation between
cells across the image, fading boundaries, and frequent cell clumping. The third
data set contains 22 phase-contrast images of cervical cancer cell colonies of the
HeLa cell line, which presents a high variability in cell shapes and sizes.
";Don't know;Mixed I think;No;"Three data sets for cell detection have been used to validate the method
(Figure 1). Firstly, the ICPR 2010 Histopathology Images contest [4], which
consists of 20 images of stained breast cancer tissue. It is required to detect
lymphocyte nuclei, while discriminating them from breast cancer nuclei having
very similar appearance. The second data set comes from [1] and contains 12
fluorescence microscopy images of human embryonic kidney (HEK) cells, where
the detection task is challenging due to the significant intensity variation between
cells across the image, fading boundaries, and frequent cell clumping. The third
data set contains 22 phase-contrast images of cervical cancer cell colonies of the
HeLa cell line, which presents a high variability in cell shapes and sizes.
Three variations of our method are evaluated: (I) direct classification";No;Nothing is mentioned;No;Nothing is mentioned;Yes;"1 Department of Engineering Science, University of Oxford, U.K.
2 Yandex, Moscow, Russia   We are grateful to Dr. N. Rajpoot, Dr. E. Bernadis, Dr.
B. Vojnovic and Dr. G. Flaccavento for providing cell data sets. Financial support
was provided by the RCUK Centre for Doctoral Training in Healthcare
Innovation (EP/G036861/1) and ERC grant VisRec no. 228180.";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
24;03/10/2022 09.45.04;53;2012;Yes;It was accurately labelled;"Our method features a novel completely
data-driven approach to breast shape prediction that does not necessitate
prior knowledge about biomechanical properties and parameters of the
breast tissue.";"We therefore propose a method for 3D breast decompression
and associated lesion mapping from 3D DBT data.";"According to theWorld Cancer Report 2008 (globocan.iarc.fr, 2012/01/23) breast
cancer is the most frequent cancer diagnosis in women among all specifiable
kinds of cancer. Early detection is assumed to significantly improve outcomes.";Multiple Multi-variate Random Forest Regression;Accuracy;Yes;"For this we first segment the breast
tissue area by thresholding and region growing,";No;"Nipple detection has been trained and evaluated on 122 annotated training
data sets, i.e., DBT scans.";"Nipple detection has been trained and evaluated on 122 annotated training
data sets, i.e., DBT scans.";Private;"Nipple detection has been trained and evaluated on 122 annotated training
data sets, i.e., DBT scans.";No;Nothing is mentioned;No;Nothing is mentioned;Yes;I believe it was collected for this article;No;"1 Siemens AG, Corporate Technology, Erlangen, Germany
2 University Hospital Erlangen, Department of Radiology, Germany
3 Siemens AG, Healthcare, Erlangen, Germany
4 Siemens Corporation, Corporate Research and Technology, Princeton, NJ, USA  Nothing is mentioned";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
28;07/10/2022 11.28.33;62;2012;Yes;It was accurately labelled;"to find discriminative regions
of 3D brain images in the classification of neurodegenerative disease.";"We present a novel method of Hierarchical Manifold Learning
which aims to automatically discover regional variations within images.";"We present a novel method of Hierarchical Manifold Learning
which aims to automatically discover regional variations within images.";Graph analysis, Hierarchical Manifold Learning;Accuracy;No;Nothing is mentioned;Yes;ADNI;"We have
applied HML to the Alzheimer’s Disease Neuroimaging Initiative (ADNI) [1]
dataset of 429 subjects of size 160 × 192 × 160 mm. This consists of 231 normal
control subjects and 198 subjects with Alzheimer’s disease.";Public;"We have
applied HML to the Alzheimer’s Disease Neuroimaging Initiative (ADNI) [1]
dataset of 429 subjects of size 160 × 192 × 160 mm. This consists of 231 normal
control subjects and 198 subjects with Alzheimer’s disease.";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;Yes;"Biomedical Image Analysis Group,
Department of Computing, Imperial College London, London, UK
2 Division of Imaging Sciences and Biomedical Engineering,
King’s College London, London, UK

We thank Marc Modat and M. Jorge Cardoso from the Centre for Medical Image
Computing, University College London, for their advice and assistance. The work is
partially funded under the 7th Framework Programme by the European Commission
(http://cordis.europa.eu/ist/).";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
30;07/10/2022 11.37.42;88;2012;Yes;It was accurately labelled;"Population based pattern analysis and classification for
quantifying structural and functional differences between diverse groups
has been shown to be a powerful tool for the study of a number of
diseases, and is quite commonly used especially in neuroimaging.";"we show that null distributions ordinarily obtained
by permutation tests using SVMs can be analytically approximated from
the data. The analytical computation takes a small fraction of the time
it takes to do an actual permutation test, thereby rendering it possible
to quickly create statistical significance maps derived from SVMs. Such
maps are critical for understanding imaging patterns of group differences
and interpreting which anatomical regions are important in determining
the classifier’s decision.";"The dominant approach
addressing this problem involves performing independent statistical testing either
pixel/voxel-wise [1] or regions of interest (ROI-wise) in the image. It has
been argued that such univariate analysis might miss group difference patterns
that span multiple voxels or regions [2]. Hence, replacing univariate methods by
multivariate methods such as SVMs [3] [4][5] has been discussed in literature.
However, unlike univariate methods [1], SVMs do not naturally provide statistical
tests (and corresponding p-values) associated with every voxel/region of
an image. Permutation testing has been suggested for interpreting SVM output
for such high dimensional data [6]. However, performing these tests is time
consuming and computationally costly";SVM;Accuracy;No;Nothing is mentioned;No;"Simulated data was generated as follows 1) grey matter tissue
density maps were generated from brain images of 152 normal subjects 2)simulated
brain shrinkage was introduced in the right frontal lobe of half of these
images by a localized reduction in intensity of the corresponding TDMs. The
vectorized TDM corresponding to each subject forms the superlong vector xi of
section 2.1.
Experiment 2: 278 TDMs were generated. This dataset contained 152 controls
and 126 Alzheimer’s patients.";"Simulated data was generated as follows 1) grey matter tissue
density maps were generated from brain images of 152 normal subjects 2)simulated
brain shrinkage was introduced in the right frontal lobe of half of these
images by a localized reduction in intensity of the corresponding TDMs. The
vectorized TDM corresponding to each subject forms the superlong vector xi of
section 2.1.
Experiment 2: 278 TDMs were generated. This dataset contained 152 controls
and 126 Alzheimer’s patients.";Private;"Simulated data was generated as follows 1) grey matter tissue
density maps were generated from brain images of 152 normal subjects 2)simulated
brain shrinkage was introduced in the right frontal lobe of half of these
images by a localized reduction in intensity of the corresponding TDMs. The
vectorized TDM corresponding to each subject forms the superlong vector xi of
section 2.1.
Experiment 2: 278 TDMs were generated. This dataset contained 152 controls
and 126 Alzheimer’s patients.";No;"Simulated data was generated as follows 1) grey matter tissue
density maps were generated from brain images of 152 normal subjects 2)simulated
brain shrinkage was introduced in the right frontal lobe of half of these
images by a localized reduction in intensity of the corresponding TDMs. The
vectorized TDM corresponding to each subject forms the superlong vector xi of
section 2.1.
Experiment 2: 278 TDMs were generated. This dataset contained 152 controls
and 126 Alzheimer’s patients.";No;"Simulated data was generated as follows 1) grey matter tissue
density maps were generated from brain images of 152 normal subjects 2)simulated
brain shrinkage was introduced in the right frontal lobe of half of these
images by a localized reduction in intensity of the corresponding TDMs. The
vectorized TDM corresponding to each subject forms the superlong vector xi of
section 2.1.
Experiment 2: 278 TDMs were generated. This dataset contained 152 controls
and 126 Alzheimer’s patients.";Yes;For this article;No;"Section for Biomedical Image Analysis,
University of Pennsylvania, Philadelphia, PA 19104, USA";No;Nothing is mentioned, also perhaps not relevant, as simulated data;No;Nothing is mentioned, also perhaps not relevant, as simulated data;No;Nothing is mentioned, also perhaps not relevant, as simulated data;No;Nothing is mentioned;"They don't really use accuracy as such, but that is the closest I could come to a performance measure. Also first article I can recall that doesn't have a conclusion...
Simulated data, so the ethics questions 1-3 also a bit fishy"
34;07/10/2022 11.52.29;97;2012;Yes;It was accurately labelled;"We then measure the accuracy score of our encoding
by training a linear classifier, which outperforms the same classifier based
on volumetric measurements.";"we adapt spectral signatures for capturing morphological
changes over time. Advanced techniques for capturing temporal shape changes
frequently rely on first registering the sequence of shapes and then analyzing the
corresponding set of high dimensional deformation maps. Instead, we propose a
simple encoding motivated by the observation that small shape deformations lead
to minor refinements in the spectral signature composed of the eigenvalues of
the Laplace operator. The proposed encoding does not require registration, since
spectral signatures are invariant to pose changes. We apply our representation to
the shapes of the ventricles extracted from 22 cine MR scans of healthy controls
and Tetralogy of Fallot patients. We then measure the accuracy score of our encoding
by training a linear classifier, which outperforms the same classifier based
on volumetric measurements.";"Capturing the shape and function of anatomy through volumetric measurements extracted
from 4D medical scans has become of central importance in diagnosing diseases.
For example, cardiologists rely on ejection fraction extracted from ultrasound
or cine MR scans to assess patients. These volumetric measurements, however, are not
sensitive enough to aid the diagnosis of many focal or diffuse cardiac diseases. In this
paper, we introduce a new encoding of the shape and its temporal changes based on
the spectral signature and show that this encoding is more sensitive for comparing two
shapes and their temporal dynamics than volumetric measurements.";SVM;Accuracy, Precision, Recall;Yes;"A
medical expert then semi-automatically segmented the blood pool of the right ventricle
andmyocardium of the left ventricle at the end-diastole (ED) timepoint using ‘Segment’
[15] with manual corrections of the results.";No;"Our dataset includes the cine MR scans of 11 TOF
cases and 11 healthy volunteers (K=22)";"Our dataset includes the cine MR scans of 11 TOF
cases and 11 healthy volunteers (K=22)";Private;"Our dataset includes the cine MR scans of 11 TOF
cases and 11 healthy volunteers (K=22)";No;Nothing is mentioned;No;Nothing is mentioned;Yes;"For this article: We would like to thank DongHye Ye for his help on generating
the cardiac dataset. ";Yes;"Dept. of Radiology, University of Pennsylvania, Philadelphia, PA 19104, USA
2 Microsoft Research, Cambridge, CB3 0FB, UK
3 Dept. of Computer Science, Rutgers University, Piscataway, NJ 08854, USA

We would like to thank Dong Hye Ye for his help on generating
the cardiac dataset. This project was supported in part by Grant Number UL1RR024134
and by the Institute for Translational Medicine and Therapeutics’ (ITMAT) Transdisciplinary
Program.";No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;No;Nothing is mentioned;
38;07/10/2022 12.05.24;117;2012;Yes;It was accurately labelled;"Our results demonstrate that the constrained sparse network gives better classification
performance than the conventional correlation-based network, indicating
its greater sensitivity to early stage brain pathologies.";"we consider a constrained sparse linear regression model associated
with the least absolute shrinkage and selection operator (LASSO). Specifically,
we introduced sparsity into brain connectivity via l1-norm penalization, and ensured
consistent non-zero connections across subjects via l2-norm penalization.
Our results demonstrate that the constrained sparse network gives better classification
performance than the conventional correlation-based network, indicating
its greater sensitivity to early stage brain pathologies.";"Mild cognitive impairment (MCI) is difficult to diagnose due to its
subtlety. Recent emergence of advanced network analysis techniques utilizing
resting-state functional Magnetic Resonance Imaging (rs-fMRI) has made the
understanding of neurological disorders more comprehensively at a whole-brain
connectivity level. However, inferring effective brain connectivity from fMRI
data is a challenging task, particularly when the ultimate goal is to obtain good
control-patient classification performance. Incorporating sparsity into connectivity
modeling can potentially produce results that are biologically more meaningful
since most biologically networks are formed by a relatively few number
of connections. However, this constraint, when applied at an individual level, will
degrade classification performance due to inter-subject variability. To address this
problem,";SVM;AUC, Specificity, Accuracy, Sensitivity;Yes;"The images were then masked with their respective graymatter (GM)
masks, created by segmenting the GM regions from their T1-weighted images to eliminate
the physiological noise caused by cardiac and respiratory cycles in white matter
and cerebrospinal fluid [17].";No;"Resting-state fMRI (rs-fMRI) scans of 12 MCI patients and 25 healthy controls were
acquired using a 3 Tesla (Signa EXCITE, GE) scanner with the following parameters:
TR/TE = 2000/32 ms, flip angle = 77?, imaging matrix = 64 × 64, FOV = 256 ×
256 mm2, 34 slices, 150 volumes, and voxel thickness = 4 mm.";"Resting-state fMRI (rs-fMRI) scans of 12 MCI patients and 25 healthy controls were
acquired using a 3 Tesla (Signa EXCITE, GE) scanner with the following parameters:
TR/TE = 2000/32 ms, flip angle = 77?, imaging matrix = 64 × 64, FOV = 256 ×
256 mm2, 34 slices, 150 volumes, and voxel thickness = 4 mm.";Private;"Resting-state fMRI (rs-fMRI) scans of 12 MCI patients and 25 healthy controls were
acquired using a 3 Tesla (Signa EXCITE, GE) scanner with the following parameters:
TR/TE = 2000/32 ms, flip angle = 77?, imaging matrix = 64 × 64, FOV = 256 ×
256 mm2, 34 slices, 150 volumes, and voxel thickness = 4 mm.";Yes;"Resting-state fMRI (rs-fMRI) scans of 12 MCI patients and 25 healthy controls were
acquired using a 3 Tesla (Signa EXCITE, GE) scanner with the following parameters:
TR/TE = 2000/32 ms, flip angle = 77?, imaging matrix = 64 × 64, FOV = 256 ×
256 mm2, 34 slices, 150 volumes, and voxel thickness = 4 mm.";Yes;"Informed consent was obtained from all subjects, and the
experimental protocols were approved by the institutional ethics board. Confirmation
of diagnosis for all subjects was made via expert consensus panels. Demographic and
clinical information of the participants is provided in Table 1.
214 C.-Y. Wee et al.
Table 1. Demographic and clinical information of the participants
Group MCI Control p-value
No. of subjects (Male/Female) 6/6 9/16 -
Age (mean ± SD) 75.0 ± 8.0 72.9 ± 7.9 0.3598a
Years of education (mean ± SD) 18.0 ± 4.1 15.8 ± 2.4 0.0491a
MMSE (mean ± SD) 28.5 ± 1.5b 29.3 ± 1.1 0.1201a";Yes;For this article;No;"Department of Radiology and BRIC,
University of North Carolina at Chapel Hill, NC, USA
2 Brain Imaging and Analysis Center,
Duke University Medical Center, Durham, NC, USA";Yes;"Informed consent was obtained from all subjects, and the
experimental protocols were approved by the institutional ethics board. ";No;Nothing is mentioned;No;Nothing is mentioned;Yes;"Informed consent was obtained from all subjects, and the
experimental protocols were approved by the institutional ethics board. ";WOW, that's a first!
