,Title,Authors,Page numbers,DOI,Year of publication,Part of publication,category
28,Bi-exponential Magnetic Resonance Signal Model for Partial Volume Computation,"Quentin Duché, Oscar Acosta, Giulio Gambarota, Isabelle Merlet, Olivier Salvado, Hervé Saint-Jalmes",231-238,/chapter/10.1007/978-3-642-33415-3_29,2012.0,1,category: classification
31,Dictionary Learning and Time Sparsity in Dynamic MRI,"Jose Caballero, Daniel Rueckert, Joseph V. Hajnal",256-263,/chapter/10.1007/978-3-642-33415-3_32,2012.0,1,category: classification
33,Sparsity-Based Deconvolution of Low-Dose Perfusion CT Using Learned Dictionaries,"Ruogu Fang, Tsuhan Chen, Pina C. Sanelli",272-280,/chapter/10.1007/978-3-642-33415-3_34,2012.0,1,category: classification
36,Oriented Pattern Analysis for Streak Detection in Dermoscopy Images,"Maryam Sadeghi, Tim K. Lee, David McLean, Harvey Lui, M. Stella Atkins",298-306,/chapter/10.1007/978-3-642-33415-3_37,2012.0,1,category: classification
37,Automated Foveola Localization in Retinal 3D-OCT Images Using Structural Support Vector Machine Prediction,"Yu-Ying Liu, Hiroshi Ishikawa, Mei Chen, Gadi Wollstein, Joel S. Schuman, James M. Rehg",307-314,/chapter/10.1007/978-3-642-33415-3_38,2012.0,1,category: classification
38,Intrinsic Melanin and Hemoglobin Colour Components for Skin Lesion Malignancy Detection,"Ali Madooei, Mark S. Drew, Maryam Sadeghi, M. Stella Atkins",315-322,/chapter/10.1007/978-3-642-33415-3_39,2012.0,1,category: classification
40,Apoptosis Detection for Adherent Cell Populations in Time-Lapse Phase-Contrast Microscopy Images,"Seungil Huh, Dai Fei Elmer Ker, Hang Su, Takeo Kanade",331-339,/chapter/10.1007/978-3-642-33415-3_41,2012.0,1,category: classification
41,Modeling Dynamic Cellular Morphology in Images,"Xing An, Zhiwen Liu, Yonggang Shi, Ning Li, Yalin Wang, Shantanu H. Joshi",340-347,/chapter/10.1007/978-3-642-33415-3_42,2012.0,1,category: classification
42,Learning to Detect Cells Using Non-overlapping Extremal Regions,"Carlos Arteta, Victor Lempitsky, J. Alison Noble, Andrew Zisserman",348-356,/chapter/10.1007/978-3-642-33415-3_43,2012.0,1,category: classification
51,Modeling of Multi-View 3D Freehand Radio Frequency Ultrasound,"T. Klein, M. Hansson, Nassir Navab",422-429,/chapter/10.1007/978-3-642-33415-3_52,2012.0,1,category: classification
52,Towards Intra-operative PET for Head and Neck Cancer: Lymph Node Localization Using High-Energy Probes,"Dzhoshkun I. Shakir, Asli Okur, Alexander Hartl, Philipp Matthies, Sibylle I. Ziegler, Markus Essler et al.",430-437,/chapter/10.1007/978-3-642-33415-3_53,2012.0,1,category: classification
53,Data-Driven Breast Decompression and Lesion Mapping from Digital Breast Tomosynthesis,"Michael Wels, B. M. Kelm, M. Hammon, Anna Jerebko, M. Sühling, Dorin Comaniciu",438-446,/chapter/10.1007/978-3-642-33415-3_54,2012.0,1,category: classification
55,Development of an MRI-Compatible Device for Prostate Focal Therapy,"Jeremy Cepek, Blaine Chronik, Uri Lindner, John Trachtenberg, Aaron Fenster",455-462,/chapter/10.1007/978-3-642-33415-3_56,2012.0,1,category: classification
59,Towards Computer-Assisted Deep Brain Stimulation Targeting with Multiple Active Contacts,"Silvain Bériault, Yiming Xiao, Lara Bailey, D. Louis Collins, Abbas F. Sadikot, G. Bruce Pike",487-494,/chapter/10.1007/978-3-642-33415-3_60,2012.0,1,category: classification
61,Combining CRF and Multi-hypothesis Detection for Accurate Lesion Segmentation in Breast Sonograms,"Zhihui Hao, Qiang Wang, Yeong Kyeong Seong, Jong-Ha Lee, Haibing Ren, Ji-yeun Kim",504-511,/chapter/10.1007/978-3-642-33415-3_62,2012.0,1,category: classification
62,Hierarchical Manifold Learning,"Kanwal K. Bhatia, Anil Rao, Anthony N. Price, Robin Wolz, Jo Hajnal, Daniel Rueckert",512-519,/chapter/10.1007/978-3-642-33415-3_63,2012.0,1,category: classification
76,Frangi Goes US : Multiscale Tubular Structure Detection Adapted to 3D Ultrasound,"Paulo Waelkens, Seyed-Ahmad Ahmadi, Nassir Navab",625-633,/chapter/10.1007/978-3-642-33415-3_77,2012.0,1,category: classification
82,Localization of Sparse Transmural Excitation Stimuli from Surface Mapping,"Jingjia Xu, Azar Rahimi Dehaghani, Fei Gao, Linwei Wang",675-682,/chapter/10.1007/978-3-642-33415-3_83,2012.0,1,category: classification
86,A Novel Sparse Graphical Approach for Multimodal Brain Connectivity Inference,"Bernard Ng, Gaël Varoquaux, Jean-Baptiste Poline, Bertrand Thirion",707-714,/chapter/10.1007/978-3-642-33415-3_87,2012.0,1,category: classification
88,Deriving Statistical Significance Maps for SVM Based Image Classification and Group Comparisons,"Bilwaj Gaonkar, Christos Davatzikos",723-730,/chapter/10.1007/978-3-642-33415-3_89,2012.0,1,category: classification
89,Analysis of Longitudinal Shape Variability via Subject Specific Growth Modeling,"James Fishbaugh, Marcel Prastawa, Stanley Durrleman, Joseph Piven, Guido Gerig",731-738,/chapter/10.1007/978-3-642-33415-3_90,2012.0,1,category: classification
90,Regional Flux Analysis of Longitudinal Atrophy in Alzheimer’s Disease,"Marco Lorenzi, Nicholas Ayache, Xavier Pennec",739-746,/chapter/10.1007/978-3-642-33415-3_91,2012.0,1,category: classification
96,Cardiac Mechanical Parameter Calibration Based on the Unscented Transform,"Stéphanie Marchesseau, Hervé Delingette, Maxime Sermesant, Kawal Rhode, Simon G. Duckett, C. Aldo Rinaldi et al.",41-48,/chapter/10.1007/978-3-642-33418-4_6,2012.0,2,category: classification
97,Temporal Shape Analysis via the Spectral Signature,"Elena Bernardis, Ender Konukoglu, Yangming Ou, Dimitris N. Metaxas, Benoit Desjardins, Kilian M. Pohl",49-56,/chapter/10.1007/978-3-642-33418-4_7,2012.0,2,category: classification
103,Uncertainty-Based Feature Learning for Skin Lesion Matching Using a High Order MRF Optimization Framework,"Hengameh Mirzaalian, Tim K. Lee, Ghassan Hamarneh",98-105,/chapter/10.1007/978-3-642-33418-4_13,2012.0,2,category: classification
105,A Novel Approach for Global Lung Registration Using 3D Markov-Gibbs Appearance Model,"Ayman El-Baz, Fahmi Khalifa, Ahmed Elnakib, Matthew Nitzken, Ahmed Soliman, Patrick McClure et al.",114-121,/chapter/10.1007/978-3-642-33418-4_15,2012.0,2,category: classification
106,Analytic Regularization of Uniform Cubic B-spline Deformation Fields,"James A. Shackleford, Qi Yang, Ana M. Lourenço, Nadya Shusharina, Nagarajan Kandasamy, Gregory C. Sharp",122-129,/chapter/10.1007/978-3-642-33418-4_16,2012.0,2,category: classification
113,Prediction of Brain MR Scans in Longitudinal Tumor Follow-Up Studies,"Lior Weizman, Liat Ben-Sira, Leo Joskowicz, Orna Aizenstein, Ben Shofty, Shlomi Constantini et al.",179-187,/chapter/10.1007/978-3-642-33418-4_23,2012.0,2,category: classification
116,A Feature-Based Developmental Model of the Infant Brain in Structural MRI,"Matthew Toews, William M. Wells III, Lilla Zöllei",204-211,/chapter/10.1007/978-3-642-33418-4_26,2012.0,2,category: classification
117,Constrained Sparse Functional Connectivity Networks for MCI Classification,"Chong-Yaw Wee, Pew-Thian Yap, Daoqiang Zhang, Lihong Wang, Dinggang Shen",212-219,/chapter/10.1007/978-3-642-33418-4_27,2012.0,2,category: classification
118,MR-Less Surface-Based Amyloid Estimation by Subject-Specific Atlas Selection and Bayesian Fusion,"Luping Zhou, Olivier Salvado, Vincent Dore, Pierrick Bourgeat, Parnesh Raniga, Victor L. Villemagne et al.",220-227,/chapter/10.1007/978-3-642-33418-4_28,2012.0,2,category: classification
119,Hierarchical Structural Mapping for Globally Optimized Estimation of Functional Networks,"Alex D. Leow, Liang Zhan, Donatello Arienzo, Johnson J. GadElkarim, Aifeng F. Zhang, Olusola Ajilore et al.",228-236,/chapter/10.1007/978-3-642-33418-4_29,2012.0,2,category: classification
121,Quantitative Evaluation of Statistical Inference in Resting State Functional MRI,"Xue Yang, Hakmook Kang, Allen Newton, Bennett A. Landman",246-253,/chapter/10.1007/978-3-642-33418-4_31,2012.0,2,category: classification
122,Identifying Sub-Populations via Unsupervised Cluster Analysis on Multi-Edge Similarity Graphs,"Madhura Ingalhalikar, Alex R. Smith, Luke Bloy, Ruben Gur, Timothy P. L. Roberts, Ragini Verma",254-261,/chapter/10.1007/978-3-642-33418-4_32,2012.0,2,category: classification
123,Geodesic Information Flows,"M. Jorge Cardoso, Robin Wolz, Marc Modat, Nick C. Fox, Daniel Rueckert, Sebastien Ourselin",262-270,/chapter/10.1007/978-3-642-33418-4_33,2012.0,2,category: classification
126,Sparse DSI: Learning DSI Structure for Denoising and Fast Imaging,"Alexandre Gramfort, Cyril Poupon, Maxime Descoteaux",288-296,/chapter/10.1007/978-3-642-33418-4_36,2012.0,2,category: classification
128,Estimation of Extracellular Volume from Regularized Multi-shell Diffusion MRI,"Ofer Pasternak, Martha E. Shenton, Carl-Fredrik Westin",305-312,/chapter/10.1007/978-3-642-33418-4_38,2012.0,2,category: classification
130,Estimation of Non-negative ODFs Using the Eigenvalue Distribution of Spherical Functions,"Evan Schwab, Bijan Afsari, René Vidal",322-330,/chapter/10.1007/978-3-642-33418-4_40,2012.0,2,category: classification
137,Hierarchical Conditional Random Fields for Detection of Gad-Enhancing Lesions in Multiple Sclerosis,"Zahra Karimaghaloo, Douglas L. Arnold, D. Louis Collins, Tal Arbel",379-386,/chapter/10.1007/978-3-642-33418-4_47,2012.0,2,category: classification
150,Hemodynamic Assessment of Pre- and Post-operative Aortic Coarctation from MRI,"Kristóf Ralovich, Lucian Itu, Viorel Mihalef, Puneet Sharma, Razvan Ionasec, Dime Vitanovski et al.",486-493,/chapter/10.1007/978-3-642-33418-4_60,2012.0,2,category: classification
152,Morphological Analysis of the Left Ventricular Endocardial Surface and Its Clinical Implications,"Anirban Mukhopadhyay, Zhen Qian, Suchendra M. Bhandarkar, Tianming Liu, Sarah Rinehart, Szilard Voros",502-510,/chapter/10.1007/978-3-642-33418-4_62,2012.0,2,category: classification
154,A Convex Relaxation Approach to Fat/Water Separation with Minimum Label Description,"Abraam S. Soliman, Jing Yuan, James A. White, Terry M. Peters, Charles A. McKenzie",519-526,/chapter/10.1007/978-3-642-33418-4_64,2012.0,2,category: classification
155,Regional Heart Motion Abnormality Detection via Multiview Fusion,"Kumaradevan Punithakumar, Ismail Ben Ayed, Ali Islam, Aashish Goela, Shuo Li",527-534,/chapter/10.1007/978-3-642-33418-4_65,2012.0,2,category: classification
157,Ultrasound and Fluoroscopic Images Fusion by Autonomous Ultrasound Probe Detection,"Peter Mountney, Razvan Ionasec, Markus Kaizer, Sina Mamaghani, Wen Wu, Terrence Chen et al.",544-551,/chapter/10.1007/978-3-642-33418-4_67,2012.0,2,category: classification
162,Semi-automatic Catheter Reconstruction from Two Views,"Matthias Hoffmann, Alexander Brost, Carolin Jakob, Felix Bourier, Martin Koch, Klaus Kurzidim et al.",584-591,/chapter/10.1007/978-3-642-33418-4_72,2012.0,2,category: classification
163,Feature Classification for Tracking Articulated Surgical Tools,"Austin Reiter, Peter K. Allen, Tao Zhao",592-600,/chapter/10.1007/978-3-642-33418-4_73,2012.0,2,category: classification
169,Registration Accuracy: How Good Is Good Enough? A Statistical Power Calculation Incorporating Image Registration Uncertainty,"Eli Gibson, Aaron Fenster, Aaron D. Ward",643-650,/chapter/10.1007/978-3-642-33418-4_79,2012.0,2,category: classification
173,Accelerated Diffusion Spectrum Imaging with Compressed Sensing Using Adaptive Dictionaries,"Berkin Bilgic, Kawin Setsompop, Julien Cohen-Adad, Van Wedeen, Lawrence L. Wald, Elfar Adalsteinsson",1-9,/chapter/10.1007/978-3-642-33454-2_1,2012.0,3,category: classification
174,Parametric Dictionary Learning for Modeling EAP and ODF in Diffusion MRI,"Sylvain Merlet, Emmanuel Caruyer, Rachid Deriche",10-17,/chapter/10.1007/978-3-642-33454-2_2,2012.0,3,category: classification
177,Multi-scale Characterization of White Matter Tract Geometry,"Peter Savadjiev, Yogesh Rathi, Sylvain Bouix, Ragini Verma, Carl-Fredrik Westin",34-41,/chapter/10.1007/978-3-642-33454-2_5,2012.0,3,category: classification
182,Neighbourhood Approximation Forests,"Ender Konukoglu, Ben Glocker, Darko Zikic, Antonio Criminisi",75-82,/chapter/10.1007/978-3-642-33454-2_10,2012.0,3,category: classification
189,Regional Manifold Learning for Deformable Registration of Brain MR Images,"Dong Hye Ye, Jihun Hamm, Dongjin Kwon, Christos Davatzikos, Kilian M. Pohl",131-138,/chapter/10.1007/978-3-642-33454-2_17,2012.0,3,category: classification
194,Realistic Head Model Design and 3D Brain Imaging of NIRS Signals Using Audio Stimuli on Preterm Neonates for Intra-Ventricular Hemorrhage Diagnosis,"Marc Fournier, Mahdi Mahmoudzadeh, Kamran Kazemi, Guy Kongolo, Ghislaine Dehaene-Lambertz, Reinhard Grebe et al.",172-179,/chapter/10.1007/978-3-642-33454-2_22,2012.0,3,category: classification
195,Hemodynamic-Informed Parcellation of fMRI Data in a Joint Detection Estimation Framework,"L. Chaari, F. Forbes, T. Vincent, P. Ciuciu",180-188,/chapter/10.1007/978-3-642-33454-2_23,2012.0,3,category: classification
197,Metamorphic Geodesic Regression,"Yi Hong, Sarang Joshi, Mar Sanchez, Martin Styner, Marc Niethammer",197-205,/chapter/10.1007/978-3-642-33454-2_25,2012.0,3,category: classification
202,Tree-Guided Sparse Coding for Brain Disease Classification,"Manhua Liu, Daoqiang Zhang, Pew-Thian Yap, Dinggang Shen",239-247,/chapter/10.1007/978-3-642-33454-2_30,2012.0,3,category: classification
203,Improving Accuracy and Power with Transfer Learning Using a Meta-analytic Database,"Yannick Schwartz, Gaël Varoquaux, Christophe Pallier, Philippe Pinel, Jean-Baptiste Poline, Bertrand Thirion",248-255,/chapter/10.1007/978-3-642-33454-2_31,2012.0,3,category: classification
205,Temporally-Constrained Group Sparse Learning for Longitudinal Data Analysis,"Daoqiang Zhang, Jun Liu, Dinggang Shen",264-271,/chapter/10.1007/978-3-642-33454-2_33,2012.0,3,category: classification
206,Feature Analysis for Parkinson’s Disease Detection Based on Transcranial Sonography Image,"Lei Chen, Johann Hagenah, Alfred Mertins",272-279,/chapter/10.1007/978-3-642-33454-2_34,2012.0,3,category: classification
208,Cortical Folding Analysis on Patients with Alzheimer’s Disease and Mild Cognitive Impairment,"David M. Cash, Andrew Melbourne, Marc Modat, M. Jorge Cardoso, Matthew J. Clarkson, Nick C. Fox et al.",289-296,/chapter/10.1007/978-3-642-33454-2_36,2012.0,3,category: classification
213,A Diffusion Model for Detecting and Classifying Vesicle Fusion and Undocking Events,"Lorenz Berger, Majid Mirmehdi, Sam Reed, Jeremy Tavaré",329-336,/chapter/10.1007/978-3-642-33454-2_41,2012.0,3,category: classification
215,Automated Tuberculosis Diagnosis Using Fluorescence Images from a Mobile Microscope,"Jeannette Chang, Pablo Arbeláez, Neil Switz, Clay Reber, Asa Tapley, J. Lucian Davis et al.",345-352,/chapter/10.1007/978-3-642-33454-2_43,2012.0,3,category: classification
226,Shape Prior Modeling Using Sparse Representation and Online Dictionary Learning,"Shaoting Zhang, Yiqiang Zhan, Yan Zhou, Mustafa Uzunbas, Dimitris N. Metaxas",435-442,/chapter/10.1007/978-3-642-33454-2_54,2012.0,3,category: classification
227,Detection of Substantia Nigra Echogenicities in 3D Transcranial Ultrasound for Early Diagnosis of Parkinson Disease,"Olivier Pauly, Seyed-Ahmad Ahmadi, Annika Plate, Kai Boetzel, Nassir Navab",443-450,/chapter/10.1007/978-3-642-33454-2_55,2012.0,3,category: classification
228,Prostate Segmentation by Sparse Representation Based Classification,"Yaozong Gao, Shu Liao, Dinggang Shen",451-458,/chapter/10.1007/978-3-642-33454-2_56,2012.0,3,category: classification
230,Using Multiparametric Data with Missing Features for Learning Patterns of Pathology,"Madhura Ingalhalikar, William A. Parker, Luke Bloy, Timothy P. L. Roberts, Ragini Verma",468-475,/chapter/10.1007/978-3-642-33454-2_58,2012.0,3,category: classification
231,Non-local Robust Detection of DTI White Matter Differences with Small Databases,"Olivier Commowick, Aymeric Stamm",476-484,/chapter/10.1007/978-3-642-33454-2_59,2012.0,3,category: classification
234,Finding Similar 2D X-Ray Coronary Angiograms,"Tanveer Syeda-Mahmood, Fei Wang, R. Kumar, D. Beymer, Y. Zhang, Robert Lundstrom et al.",501-508,/chapter/10.1007/978-3-642-33454-2_62,2012.0,3,category: classification
235,Detection of Vertebral Body Fractures Based on Cortical Shell Unwrapping,"Jianhua Yao, Joseph E. Burns, Hector Munoz, Ronald M. Summers",509-516,/chapter/10.1007/978-3-642-33454-2_63,2012.0,3,category: classification
236,Multiscale Lung Texture Signature Learning Using the Riesz Transform,"Adrien Depeursinge, Antonio Foncubierta–Rodriguez, Dimitri Van de Ville, Henning Müller",517-524,/chapter/10.1007/978-3-642-33454-2_64,2012.0,3,category: classification
237,Blood Flow Simulation for the Liver after a Virtual Right Lobe Hepatectomy,"Harvey Ho, Keagan Sorrell, Adam Bartlett, Peter Hunter",525-532,/chapter/10.1007/978-3-642-33454-2_65,2012.0,3,category: classification
239,A Comprehensive Framework for the Detection of Individual Brain Perfusion Abnormalities Using Arterial Spin Labeling,"Camille Maumet, Pierre Maurel, Jean-Christophe Ferré, Christian Barillot",542-549,/chapter/10.1007/978-3-642-33454-2_67,2012.0,3,category: classification
240,Automated Colorectal Cancer Diagnosis for Whole-Slice Histopathology,"Habil Kalkan, Marius Nap, Robert P. W. Duin, Marco Loog",550-557,/chapter/10.1007/978-3-642-33454-2_68,2012.0,3,category: classification
241,Patient-Adaptive Lesion Metabolism Analysis by Dynamic PET Images,"Fei Gao, Huafeng Liu, Pengcheng Shi",558-565,/chapter/10.1007/978-3-642-33454-2_69,2012.0,3,category: classification
242,A Personalized Biomechanical Model for Respiratory Motion Prediction,"B. Fuerst, T. Mansi, Jianwen Zhang, P. Khurd, J. Declerck, T. Boettger et al.",566-573,/chapter/10.1007/978-3-642-33454-2_70,2012.0,3,category: classification
243,Endoscope Distortion Correction Does Not (Easily) Improve Mucosa-Based Classification of Celiac Disease,"Jutta Hämmerle-Uhl, Yvonne Höller, Andreas Uhl, Andreas Vécsei",574-581,/chapter/10.1007/978-3-642-33454-2_71,2012.0,3,category: classification
247,An Invariant Shape Representation Using the Anisotropic Helmholtz Equation,"A. A. Joshi, S. Ashrafulla, D. W. Shattuck, H. Damasio, R. M. Leahy",607-614,/chapter/10.1007/978-3-642-33454-2_75,2012.0,3,category: classification
248,Phase Contrast Image Restoration via Dictionary Representation of Diffraction Patterns,"Hang Su, Zhaozheng Yin, Takeo Kanade, Seungil Huh",615-622,/chapter/10.1007/978-3-642-33454-2_76,2012.0,3,category: classification
