,Title,Authors,Page numbers,DOI,Year of publication
22,"Multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets","Arnaud Boutillon, Pierre-Henri Conze, Christelle Pons, ValÃ©rie Burdin, Bhushan Borotikar",239-249,/chapter/10.1007/978-3-030-87193-2_23,2021
23,TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations,"Madeleine K. Wyburd, Nicola K. Dinsdale, Ana I. L. Namburete, Mark Jenkinson",250-260,/chapter/10.1007/978-3-030-87193-2_24,2021
24,Learning Consistency- and Discrepancy-Context for 2D Organ Segmentation,"Lei Li, Sheng Lian, Zhiming Luo, Shaozi Li, Beizhan Wang, Shuo Li",261-270,/chapter/10.1007/978-3-030-87193-2_25,2021
25,Partially-Supervised Learning for Vessel Segmentation in Ocular Images,"Yanyu Xu, Xinxing Xu, Lei Jin, Shenghua Gao, Rick Siow Mong Goh, Daniel S. W. Ting et al.",271-281,/chapter/10.1007/978-3-030-87193-2_26,2021
26,Unsupervised Network Learning for Cell Segmentation,"Liang Han, Zhaozheng Yin",282-292,/chapter/10.1007/978-3-030-87193-2_27,2021
27,MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels,"Ziyuan Zhao, Kaixin Xu, Shumeng Li, Zeng Zeng, Cuntai Guan",293-303,/chapter/10.1007/978-3-030-87193-2_28,2021
28,Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation,"Ping Wang, Jizong Peng, Marco Pedersoli, Yuanfeng Zhou, Caiming Zhang, Christian Desrosiers",304-314,/chapter/10.1007/978-3-030-87193-2_29,2021
29,Interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces,"Helena Williams, JoÃ£o Pedrosa, Laura Cattani, Susanne Housmans, Tom Vercauteren, Jan Deprest et al.",315-325,/chapter/10.1007/978-3-030-87193-2_30,2021
30,Multi-compound Transformer for Accurate Biomedical Image Segmentation,"Yuanfeng Ji, Ruimao Zhang, Huijie Wang, Zhen Li, Lingyun Wu, Shaoting Zhang et al.",326-336,/chapter/10.1007/978-3-030-87193-2_31,2021
31,kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation,"Pengfei Gu, Hao Zheng, Yizhe Zhang, Chaoli Wang, Danny Z. Chen",337-347,/chapter/10.1007/978-3-030-87193-2_32,2021
32,Multi-frame Attention Network for Left Ventricle Segmentation in 3D Echocardiography,"Shawn S. Ahn, Kevinminh Ta, Stephanie Thorn, Jonathan Langdon, Albert J. Sinusas, James S. Duncan",348-357,/chapter/10.1007/978-3-030-87193-2_33,2021
33,Coarse-To-Fine Segmentation of Organs at Risk in Nasopharyngeal Carcinoma Radiotherapy,"Qiankun Ma, Chen Zu, Xi Wu, Jiliu Zhou, Yan Wang",358-368,/chapter/10.1007/978-3-030-87193-2_34,2021
34,Joint Segmentation and Quantification of Main Coronary Vessels Using Dual-Branch Multi-scale Attention Network,"Hongwei Zhang, Dong Zhang, Zhifan Gao, Heye Zhang",369-378,/chapter/10.1007/978-3-030-87193-2_35,2021
35,A Spatial Guided Self-supervised Clustering Network for Medical Image Segmentation,"Euijoon Ahn, Dagan Feng, Jinman Kim",379-388,/chapter/10.1007/978-3-030-87193-2_36,2021
36,Comprehensive Importance-Based Selective Regularization for Continual Segmentation Across Multiple Sites,"Jingyang Zhang, Ran Gu, Guotai Wang, Lixu Gu",389-399,/chapter/10.1007/978-3-030-87193-2_37,2021
37,ReSGAN: Intracranial Hemorrhage Segmentation with Residuals of Synthetic Brain CT Scans,"Miika Toikkanen, Doyoung Kwon, Minho Lee",400-409,/chapter/10.1007/978-3-030-87193-2_38,2021
38,Refined Local-imbalance-based Weight for Airway Segmentation in CT,"Hao Zheng, Yulei Qin, Yun Gu, Fangfang Xie, Jiayuan Sun, Jie Yang et al.",410-419,/chapter/10.1007/978-3-030-87193-2_39,2021
39,Selective Learning from External Data for CT Image Segmentation,"Youyi Song, Lequan Yu, Baiying Lei, Kup-Sze Choi, Jing Qin",420-430,/chapter/10.1007/978-3-030-87193-2_40,2021
40,Projective Skip-Connections for Segmentation Along a Subset of Dimensions in Retinal OCT,"Dmitrii Lachinov, Philipp SeebÃ¶ck, Julia Mai, Felix Goldbach, Ursula Schmidt-Erfurth, Hrvoje Bogunovic",431-441,/chapter/10.1007/978-3-030-87193-2_41,2021
41,MouseGAN: GAN-Based Multiple MRI Modalities Synthesis and Segmentation for Mouse Brain Structures,"Ziqi Yu, Yuting Zhai, Xiaoyang Han, Tingying Peng, Xiao-Yong Zhang",442-450,/chapter/10.1007/978-3-030-87193-2_42,2021
42,Style Curriculum Learning for Robust Medical Image Segmentation,"Zhendong Liu, Van Manh, Xin Yang, Xiaoqiong Huang, Karim Lekadir, VÃ­ctor Campello et al.",451-460,/chapter/10.1007/978-3-030-87193-2_43,2021
43,Towards Efficient Human-Machine Collaboration: Real-Time Correction Effort Prediction for Ultrasound Data Acquisition,"Yukun Ding, Dewen Zeng, Mingqi Li, Hongwen Fei, Haiyun Yuan, Meiping Huang et al.",461-470,/chapter/10.1007/978-3-030-87193-2_44,2021
44,Residual Feedback Network for Breast Lesion Segmentation in Ultrasound Image,"Ke Wang, Shujun Liang, Yu Zhang",471-481,/chapter/10.1007/978-3-030-87193-2_45,2021
45,Learning to Address Intra-segment Misclassification in Retinal Imaging,"Yukun Zhou, Moucheng Xu, Yipeng Hu, Hongxiang Lin, Joseph Jacob, Pearse A. Keane et al.",482-492,/chapter/10.1007/978-3-030-87193-2_46,2021
46,Flip Learning: Erase to Segment,"Yuhao Huang, Xin Yang, Yuxin Zou, Chaoyu Chen, Jian Wang, Haoran Dou et al.",493-502,/chapter/10.1007/978-3-030-87193-2_47,2021
47,DC-Net: Dual Context Network for 2D Medical Image Segmentation,"Rongtao Xu, Changwei Wang, Shibiao Xu, Weiliang Meng, Xiaopeng Zhang",503-513,/chapter/10.1007/978-3-030-87193-2_48,2021
48,LIFE: A Generalizable Autodidactic Pipeline for 3D OCT-A Vessel Segmentation,"Dewei Hu, Can Cui, Hao Li, Kathleen E. Larson, Yuankai K. Tao, Ipek Oguz",514-524,/chapter/10.1007/978-3-030-87193-2_49,2021
49,Superpixel-Guided Iterative Learning from Noisy Labels for Medical Image Segmentation,"Shuailin Li, Zhitong Gao, Xuming He",525-535,/chapter/10.1007/978-3-030-87193-2_50,2021
50,A Hybrid Attention Ensemble Framework for Zonal Prostate Segmentation,"Mingyan Qiu, Chenxi Zhang, Zhijian Song",536-547,/chapter/10.1007/978-3-030-87193-2_51,2021
51,3D-UCaps: 3D Capsules Unet for Volumetric Image Segmentation,"Tan Nguyen, Binh-Son Hua, Ngan Le",548-558,/chapter/10.1007/978-3-030-87193-2_52,2021
52,HRENet: A Hard Region Enhancement Network for Polyp Segmentation,"Yutian Shen, Xiao Jia, Max Q.-H. Meng",559-568,/chapter/10.1007/978-3-030-87193-2_53,2021
53,A Novel Hybrid Convolutional Neural Network for Accurate Organ Segmentation in 3D Head and Neck CT Images,"Zijie Chen, Cheng Li, Junjun He, Jin Ye, Diping Song, Shanshan Wang et al.",569-578,/chapter/10.1007/978-3-030-87193-2_54,2021
54,TumorCP: A Simple but Effective Object-Level Data Augmentation for Tumor Segmentation,"Jiawei Yang, Yao Zhang, Yuan Liang, Yang Zhang, Lei He, Zhiqiang He",579-588,/chapter/10.1007/978-3-030-87193-2_55,2021
55,Modality-Aware Mutual Learning for Multi-modal Medical Image Segmentation,"Yao Zhang, Jiawei Yang, Jiang Tian, Zhongchao Shi, Cheng Zhong, Yang Zhang et al.",589-599,/chapter/10.1007/978-3-030-87193-2_56,2021
56,Hybrid Graph Convolutional Neural Networks for Landmark-Based Anatomical Segmentation,"NicolÃ¡s Gaggion, Lucas Mansilla, Diego H. Milone, Enzo Ferrante",600-610,/chapter/10.1007/978-3-030-87193-2_57,2021
57,RibSeg Dataset and Strong Point Cloud Baselines for Rib Segmentation from CT Scans,"Jiancheng Yang, Shixuan Gu, Donglai Wei, Hanspeter Pfister, Bingbing Ni",611-621,/chapter/10.1007/978-3-030-87193-2_58,2021
58,Hierarchical Self-supervised Learning for Medical Image Segmentation Based on Multi-domain Data Aggregation,"Hao Zheng, Jun Han, Hongxiao Wang, Lin Yang, Zhuo Zhao, Chaoli Wang et al.",622-632,/chapter/10.1007/978-3-030-87193-2_59,2021
59,CCBANet: Cascading Context and Balancing Attention for Polyp Segmentation,"Tan-Cong Nguyen, Tien-Phat Nguyen, Gia-Han Diep, Anh-Huy Tran-Dinh, Tam V. Nguyen, Minh-Triet Tran",633-643,/chapter/10.1007/978-3-030-87193-2_60,2021
60,Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,"Ngoc-Vuong Ho, Tan Nguyen, Gia-Han Diep, Ngan Le, Binh-Son Hua",644-655,/chapter/10.1007/978-3-030-87193-2_61,2021
61,TUN-Det: A Novel Network for Thyroid Ultrasound Nodule Detection,"Atefeh Shahroudnejad, Xuebin Qin, Sharanya Balachandran, Masood Dehghan, Dornoosh Zonoobi, Jacob Jaremko et al.",656-667,/chapter/10.1007/978-3-030-87193-2_62,2021
62,Distilling Effective Supervision for Robust Medical Image Segmentation with Noisy Labels,"Jialin Shi, Ji Wu",668-677,/chapter/10.1007/978-3-030-87193-2_63,2021
63,On the Relationship Between Calibrated Predictors and Unbiased Volume Estimation,"Teodora Popordanoska, Jeroen Bertels, Dirk Vandermeulen, Frederik Maes, Matthew B. Blaschko",678-688,/chapter/10.1007/978-3-030-87193-2_64,2021
64,High-Resolution Segmentation of Lumbar Vertebrae from Conventional Thick Slice MRI,"Federico Turella, Gustav Bredell, Alexander Okupnik, Sebastiano Caprara, Dimitri Graf, Reto Sutter et al.",689-698,/chapter/10.1007/978-3-030-87193-2_65,2021
65,Shallow Attention Network for Polyp Segmentation,"Jun Wei, Yiwen Hu, Ruimao Zhang, Zhen Li, S. Kevin Zhou, Shuguang Cui",699-708,/chapter/10.1007/978-3-030-87193-2_66,2021
66,A Line to Align: Deep Dynamic Time Warping for Retinal OCT Segmentation,"Heiko Maier, Shahrooz Faghihroohi, Nassir Navab",709-719,/chapter/10.1007/978-3-030-87193-2_67,2021
67,Learnable Oriented-Derivative Network for Polyp Segmentation,"Mengjun Cheng, Zishang Kong, Guoli Song, Yonghong Tian, Yongsheng Liang, Jie Chen",720-730,/chapter/10.1007/978-3-030-87193-2_68,2021
68,LambdaUNet: 2.5D Stroke Lesion Segmentation of Diffusion-Weighted MR Images,"Yanglan Ou, Ye Yuan, Xiaolei Huang, Kelvin Wong, John Volpi, James Z. Wang et al.",731-741,/chapter/10.1007/978-3-030-87193-2_69,2021
69,Correction to: Interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces,"Helena Williams, JoÃ£o Pedrosa, Laura Cattani, Susanne Housmans, Tom Vercauteren, Jan Deprest et al.",C1-C1,/chapter/10.1007/978-3-030-87193-2_70,2021
70,SSLP: Spatial Guided Self-supervised Learning on Pathological Images,"Jiajun Li, Tiancheng Lin, Yi Xu",3-12,/chapter/10.1007/978-3-030-87196-3_1,2021
71,Segmentation of Left Atrial MR Images via Self-supervised Semi-supervised Meta-learning,"Dani Kiyasseh, Albert Swiston, Ronghua Chen, Antong Chen",13-24,/chapter/10.1007/978-3-030-87196-3_2,2021
72,Deformed2Self: Self-supervised Denoising for Dynamic Medical Imaging,"Junshen Xu, Elfar Adalsteinsson",25-35,/chapter/10.1007/978-3-030-87196-3_3,2021
73,Imbalance-Aware Self-supervised Learning for 3D Radiomic Representations,"Hongwei Li, Fei-Fei Xue, Krishna Chaitanya, Shengda Luo, Ivan Ezhov, Benedikt Wiestler et al.",36-46,/chapter/10.1007/978-3-030-87196-3_4,2021
74,Self-supervised Visual Representation Learning for Histopathological Images,"Pengshuai Yang, Zhiwei Hong, Xiaoxu Yin, Chengzhan Zhu, Rui Jiang",47-57,/chapter/10.1007/978-3-030-87196-3_5,2021
75,Contrastive Learning with Continuous Proxy Meta-data for 3D MRI Classification,"Benoit Dufumier, Pietro Gori, Julie Victor, Antoine Grigis, Michele Wessa, Paolo Brambilla et al.",58-68,/chapter/10.1007/978-3-030-87196-3_6,2021
76,Sli2Vol: Annotate a 3D Volume from a Single Slice with Self-supervised Learning,"Pak-Hei Yeung, Ana I. L. Namburete, Weidi Xie",69-79,/chapter/10.1007/978-3-030-87196-3_7,2021
77,Self-supervised Longitudinal Neighbourhood Embedding,"Jiahong Ouyang, Qingyu Zhao, Ehsan Adeli, Edith V. Sullivan, Adolf Pfefferbaum, Greg Zaharchuk et al.",80-89,/chapter/10.1007/978-3-030-87196-3_8,2021
78,Self-supervised Multi-modal Alignment for Whole Body Medical Imaging,"Rhydian Windsor, Amir Jamaludin, Timor Kadir, Andrew Zisserman",90-101,/chapter/10.1007/978-3-030-87196-3_9,2021
79,SimTriplet: Simple Triplet Representation Learning with a Single GPU,"Quan Liu, Peter C. Louis, Yuzhe Lu, Aadarsh Jha, Mengyang Zhao, Ruining Deng et al.",102-112,/chapter/10.1007/978-3-030-87196-3_10,2021
80,Lesion-Based Contrastive Learning for Diabetic Retinopathy Grading from Fundus Images,"Yijin Huang, Li Lin, Pujin Cheng, Junyan Lyu, Xiaoying Tang",113-123,/chapter/10.1007/978-3-030-87196-3_11,2021
81,SAR: Scale-Aware Restoration Learning for 3D Tumor Segmentation,"Xiaoman Zhang, Shixiang Feng, Yuhang Zhou, Ya Zhang, Yanfeng Wang",124-133,/chapter/10.1007/978-3-030-87196-3_12,2021
82,Self-supervised Correction Learning for Semi-supervised Biomedical Image Segmentation,"Ruifei Zhang, Sishuo Liu, Yizhou Yu, Guanbin Li",134-144,/chapter/10.1007/978-3-030-87196-3_13,2021
83,SpineGEM: A Hybrid-Supervised Model Generation Strategy Enabling Accurate Spine Disease Classification with a Small Training Dataset,"Xihe Kuang, Jason Pui Yin Cheung, Xiaowei Ding, Teng Zhang",145-154,/chapter/10.1007/978-3-030-87196-3_14,2021
84,Contrastive Learning of Relative Position Regression for One-Shot Object Localization in 3D Medical Images,"Wenhui Lei, Wei Xu, Ran Gu, Hao Fu, Shaoting Zhang, Shichuan Zhang et al.",155-165,/chapter/10.1007/978-3-030-87196-3_15,2021
85,Topological Learning and Its Application to Multimodal Brain Network Integration,"Tananun Songdechakraiwut, Li Shen, Moo Chung",166-176,/chapter/10.1007/978-3-030-87196-3_16,2021
86,One-Shot Medical Landmark Detection,"Qingsong Yao, Quan Quan, Li Xiao, S. Kevin Zhou",177-188,/chapter/10.1007/978-3-030-87196-3_17,2021
87,Implicit Field Learning for Unsupervised Anomaly Detection in Medical Images,"Sergio Naval Marimont, Giacomo Tarroni",189-198,/chapter/10.1007/978-3-030-87196-3_18,2021
88,Dual-Consistency Semi-supervised Learning with Uncertainty Quantification for COVID-19 Lesion Segmentation from CT Images,"Yanwen Li, Luyang Luo, Huangjing Lin, Hao Chen, Pheng-Ann Heng",199-209,/chapter/10.1007/978-3-030-87196-3_19,2021
89,Contrastive Pre-training and Representation Distillation for Medical Visual Question Answering Based on Radiology Images,"Bo Liu, Li-Ming Zhan, Xiao-Ming Wu",210-220,/chapter/10.1007/978-3-030-87196-3_20,2021
90,Positional Contrastive Learning for Volumetric Medical Image Segmentation,"Dewen Zeng, Yawen Wu, Xinrong Hu, Xiaowei Xu, Haiyun Yuan, Meiping Huang et al.",221-230,/chapter/10.1007/978-3-030-87196-3_21,2021
91,Longitudinal Self-supervision to Disentangle Inter-patient Variability from Disease Progression,"RaphaÃ«l CouronnÃ©, Paul Vernhet, Stanley Durrleman",231-241,/chapter/10.1007/978-3-030-87196-3_22,2021
92,Self-supervised Vessel Enhancement Using Flow-Based Consistencies,"Rohit Jena, Sumedha Singla, Kayhan Batmanghelich",242-251,/chapter/10.1007/978-3-030-87196-3_23,2021
93,Unsupervised Contrastive Learning of Radiomics and Deep Features for Label-Efficient Tumor Classification,"Ziteng Zhao, Guanyu Yang",252-261,/chapter/10.1007/978-3-030-87196-3_24,2021
94,Learning 4D Infant Cortical Surface Atlas with Unsupervised Spherical Networks,"Fenqiang Zhao, Zhengwang Wu, Li Wang, Weili Lin, Shunren Xia, Gang Li et al.",262-272,/chapter/10.1007/978-3-030-87196-3_25,2021
95,Multimodal Representation Learning via Maximization of Local Mutual Information,"Ruizhi Liao, Daniel Moyer, Miriam Cha, Keegan Quigley, Seth Berkowitz, Steven Horng et al.",273-283,/chapter/10.1007/978-3-030-87196-3_26,2021
96,Inter-regional High-Level Relation Learning from Functional Connectivity via Self-supervision,"Wonsik Jung, Da-Woon Heo, Eunjin Jeon, Jaein Lee, Heung-Il Suk",284-293,/chapter/10.1007/978-3-030-87196-3_27,2021
97,Semi-supervised Left Atrium Segmentation with Mutual Consistency Training,"Yicheng Wu, Minfeng Xu, Zongyuan Ge, Jianfei Cai, Lei Zhang",297-306,/chapter/10.1007/978-3-030-87196-3_28,2021
98,Semi-supervised Meta-learning with Disentanglement for Domain-Generalised Medical Image Segmentation,"Xiao Liu, Spyridon Thermos, Alison Oâ€™Neil, Sotirios A. Tsaftaris",307-317,/chapter/10.1007/978-3-030-87196-3_29,2021
99,Efficient Semi-supervised Gross Target Volume of Nasopharyngeal Carcinoma Segmentation via Uncertainty Rectified Pyramid Consistency,"Xiangde Luo, Wenjun Liao, Jieneng Chen, Tao Song, Yinan Chen, Shichuan Zhang et al.",318-329,/chapter/10.1007/978-3-030-87196-3_30,2021
100,Few-Shot Domain Adaptation with Polymorphic Transformers,"Shaohua Li, Xiuchao Sui, Jie Fu, Huazhu Fu, Xiangde Luo, Yangqin Feng et al.",330-340,/chapter/10.1007/978-3-030-87196-3_31,2021
101,Lesion Segmentation and RECIST Diameter Prediction via Click-Driven Attention and Dual-Path Connection,"Youbao Tang, Ke Yan, Jinzheng Cai, Lingyun Huang, Guotong Xie, Jing Xiao et al.",341-351,/chapter/10.1007/978-3-030-87196-3_32,2021
102,Reciprocal Learning for Semi-supervised Segmentation,"Xiangyun Zeng, Rian Huang, Yuming Zhong, Dong Sun, Chu Han, Di Lin et al.",352-361,/chapter/10.1007/978-3-030-87196-3_33,2021
103,Disentangled Sequential Graph Autoencoder for Preclinical Alzheimerâ€™s Disease Characterizations from ADNI Study,"Fan Yang, Rui Meng, Hyuna Cho, Guorong Wu, Won Hwa Kim",362-372,/chapter/10.1007/978-3-030-87196-3_34,2021
104,POPCORN: Progressive Pseudo-Labeling with Consistency Regularization and Neighboring,"Reda Abdellah Kamraoui, Vinh-Thong Ta, Nicolas Papadakis, Fanny Compaire, JosÃ© V. Manjon, Pierrick CoupÃ©",373-382,/chapter/10.1007/978-3-030-87196-3_35,2021
105,3D Semantic Mapping from Arthroscopy Using Out-of-Distribution Pose and Depth and In-Distribution Segmentation Training,"Yaqub Jonmohamadi, Shahnewaz Ali, Fengbei Liu, Jonathan Roberts, Ross Crawford, Gustavo Carneiro et al.",383-393,/chapter/10.1007/978-3-030-87196-3_36,2021
106,Semi-Supervised Unpaired Multi-Modal Learning for Label-Efficient Medical Image Segmentation,"Lei Zhu, Kaiyuan Yang, Meihui Zhang, Ling Ling Chan, Teck Khim Ng, Beng Chin Ooi",394-404,/chapter/10.1007/978-3-030-87196-3_37,2021
107,Implicit Neural Distance Representation for Unsupervised and Supervised Classification of Complex Anatomies,"Kristine Aavild Juhl, Xabier Morales, Ole de Backer, Oscar Camara, Rasmus Reinhold Paulsen",405-415,/chapter/10.1007/978-3-030-87196-3_38,2021
108,3D Graph-S2Net: Shape-Aware Self-ensembling Network for Semi-supervised Segmentation with Bilateral Graph Convolution,"Huimin Huang, Nan Zhou, Lanfen Lin, Hongjie Hu, Yutaro Iwamoto, Xian-Hua Han et al.",416-427,/chapter/10.1007/978-3-030-87196-3_39,2021
109,Duo-SegNet: Adversarial Dual-Views for Semi-supervised Medical Image Segmentation,"Himashi Peiris, Zhaolin Chen, Gary Egan, Mehrtash Harandi",428-438,/chapter/10.1007/978-3-030-87196-3_40,2021
110,Neighbor Matching for Semi-supervised Learning,"Renzhen Wang, Yichen Wu, Huai Chen, Lisheng Wang, Deyu Meng",439-449,/chapter/10.1007/978-3-030-87196-3_41,2021
111,Tripled-Uncertainty Guided Mean Teacher Model for Semi-supervised Medical Image Segmentation,"Kaiping Wang, Bo Zhan, Chen Zu, Xi Wu, Jiliu Zhou, Luping Zhou et al.",450-460,/chapter/10.1007/978-3-030-87196-3_42,2021
112,Learning with Noise: Mask-Guided Attention Model for Weakly Supervised Nuclei Segmentation,"Ruoyu Guo, Maurice Pagnucco, Yang Song",461-470,/chapter/10.1007/978-3-030-87196-3_43,2021
113,Order-Guided Disentangled Representation Learning for Ulcerative Colitis Classification with Limited Labels,"Shota Harada, Ryoma Bise, Hideaki Hayashi, Kiyohito Tanaka, Seiichi Uchida",471-480,/chapter/10.1007/978-3-030-87196-3_44,2021
114,Semi-supervised Contrastive Learning for Label-Efficient Medical Image Segmentation,"Xinrong Hu, Dewen Zeng, Xiaowei Xu, Yiyu Shi",481-490,/chapter/10.1007/978-3-030-87196-3_45,2021
115,Functional Magnetic Resonance Imaging Data Augmentation Through Conditional ICA,"Badr Tajini, Hugo Richard, Bertrand Thirion",491-500,/chapter/10.1007/978-3-030-87196-3_46,2021
116,Scalable Joint Detection and Segmentation of Surgical Instruments with Weak Supervision,"Ricardo Sanchez-Matilla, Maria Robu, Imanol Luengo, Danail Stoyanov",501-511,/chapter/10.1007/978-3-030-87196-3_47,2021
117,Weakly-Supervised Universal Lesion Segmentation with Regional Level Set Loss,"Youbao Tang, Jinzheng Cai, Ke Yan, Lingyun Huang, Guotong Xie, Jing Xiao et al.",515-525,/chapter/10.1007/978-3-030-87196-3_48,2021
118,Bounding Box Tightness Prior for Weakly Supervised Image Segmentation,"Juan Wang, Bin Xia",526-536,/chapter/10.1007/978-3-030-87196-3_49,2021
119,OXnet: Deep Omni-Supervised Thoracic Disease Detection from Chest X-Rays,"Luyang Luo, Hao Chen, Yanning Zhou, Huangjing Lin, Pheng-Ann Heng",537-548,/chapter/10.1007/978-3-030-87196-3_50,2021
120,Adapting Off-the-Shelf Source Segmenter for Target Medical Image Segmentation,"Xiaofeng Liu, Fangxu Xing, Chao Yang, Georges El Fakhri, Jonghye Woo",549-559,/chapter/10.1007/978-3-030-87196-3_51,2021
121,Quality-Aware Memory Network for Interactive Volumetric Image Segmentation,"Tianfei Zhou, Liulei Li, Gustav Bredell, Jianwu Li, Ender Konukoglu",560-570,/chapter/10.1007/978-3-030-87196-3_52,2021
